"topic_label","originaltopic","haldtopic","topic_use","topic_majortaxon","topic_discipline","year","proportion_present","sd_proportion_present","rollmean","start_year","start_year_proportion_present","norm_year","norm_prop"
"experimental ecology","topic80","topic115",1,NA,"ecology",1970,0.0453674121405751,0.00526057189375415,0.0466256018996068,1961,0.034805890227577,9,1.30344064880806
"experimental ecology","topic80","topic115",1,NA,"ecology",1971,0.0506697728596389,0.00529295236844258,0.0481832271404882,1961,0.034805890227577,10,1.45578155100578
"experimental ecology","topic80","topic115",1,NA,"ecology",1972,0.0490566037735849,0.00501480575549876,0.0482711614744173,1961,0.034805890227577,11,1.40943396226415
"experimental ecology","topic80","topic115",1,NA,"ecology",1973,0.0338814150473343,0.00403852059679343,0.0445589387367577,1961,0.034805890227577,12,0.973439116936873
"experimental ecology","topic80","topic115",1,NA,"ecology",1974,0.0449545671927307,0.00453129054608394,0.0447859542027728,1961,0.034805890227577,13,1.29157929588345
"experimental ecology","topic80","topic115",1,NA,"ecology",1975,0.043572044866264,0.00424007351001547,0.0444268807479106,1961,0.034805890227577,14,1.25185836596535
"experimental ecology","topic80","topic115",1,NA,"ecology",1976,0.0456257848472164,0.00426929778298148,0.0434180831454261,1961,0.034805890227577,15,1.3108638954181
"experimental ecology","topic80","topic115",1,NA,"ecology",1977,0.0502401182120428,0.00419844152546331,0.0436547860331176,1961,0.034805890227577,16,1.44343724247677
"experimental ecology","topic80","topic115",1,NA,"ecology",1978,0.0448994252873563,0.00392473491382,0.045858388081122,1961,0.034805890227577,17,1.2899950265252
"experimental ecology","topic80","topic115",1,NA,"ecology",1979,0.0501138952164009,0.00393580494938744,0.0468902536858561,1961,0.034805890227577,18,1.43981075871736
"experimental ecology","topic80","topic115",1,NA,"ecology",1980,0.0584532374100719,0.00406174085127446,0.0498664921946177,1961,0.034805890227577,19,1.67940647482014
"experimental ecology","topic80","topic115",1,NA,"ecology",1981,0.0549450549450549,0.00377695789712194,0.0517303462141854,1961,0.034805890227577,20,1.57861369399831
"experimental ecology","topic80","topic115",1,NA,"ecology",1982,0.0678879310344828,0.00412882398035563,0.0552599087786734,1961,0.034805890227577,21,1.9504724801061
"experimental ecology","topic80","topic115",1,NA,"ecology",1983,0.0604890604890605,0.00382466876116292,0.0583778358190142,1961,0.034805890227577,22,1.73789723789724
"experimental ecology","topic80","topic115",1,NA,"ecology",1984,0.0694711538461538,0.00394203531934957,0.0622492875449648,1961,0.034805890227577,23,1.99595968934911
"experimental ecology","topic80","topic115",1,NA,"ecology",1985,0.0720396217919856,0.0038793695407025,0.0649665644213475,1961,0.034805890227577,24,2.06975374917743
"experimental ecology","topic80","topic115",1,NA,"ecology",1986,0.0748556197245669,0.00392205985599942,0.0689486773772499,1961,0.034805890227577,25,2.15065953593275
"experimental ecology","topic80","topic115",1,NA,"ecology",1987,0.0827835709725473,0.0040198076116453,0.0719278053648628,1961,0.034805890227577,26,2.37843567371126
"experimental ecology","topic80","topic115",1,NA,"ecology",1988,0.0842083590693844,0.00398466566936919,0.0766716650809276,1961,0.034805890227577,27,2.41937093172423
"experimental ecology","topic80","topic115",1,NA,"ecology",1989,0.0838033843674456,0.00393286676642103,0.079538111185186,1961,0.034805890227577,28,2.40773569701853
"experimental ecology","topic80","topic115",1,NA,"ecology",1990,0.0920711004593569,0.00408600403613791,0.0835444069186602,1961,0.034805890227577,29,2.64527354012075
"experimental ecology","topic80","topic115",1,NA,"ecology",1991,0.0945000945000945,0.00402153122673338,0.0874733018737657,1961,0.034805890227577,30,2.7150604073681
"experimental ecology","topic80","topic115",1,NA,"ecology",1992,0.0975696926375983,0.00396666433768606,0.0904305262067759,1961,0.034805890227577,31,2.80325232308792
"experimental ecology","topic80","topic115",1,NA,"ecology",1993,0.101573426573427,0.00399423241502515,0.0939035397075844,1961,0.034805890227577,32,2.91828267885961
"experimental ecology","topic80","topic115",1,NA,"ecology",1994,0.101950499918046,0.00387386342224553,0.0975329628177045,1961,0.034805890227577,33,2.92911628610694
"experimental ecology","topic80","topic115",1,NA,"ecology",1995,0.103837471783296,0.00387350893464526,0.0998862370824924,1961,0.034805890227577,34,2.98333043931239
"experimental ecology","topic80","topic115",1,NA,"ecology",1996,0.107512764405543,0.00374134098551102,0.102488771063582,1961,0.034805890227577,35,3.08892442349771
"experimental ecology","topic80","topic115",1,NA,"ecology",1997,0.112122101555621,0.00382226833647761,0.105399252847187,1961,0.034805890227577,36,3.22135422546342
"experimental ecology","topic80","topic115",1,NA,"ecology",1998,0.102539725655304,0.00353530015476451,0.105592512663562,1961,0.034805890227577,37,2.94604519478892
"experimental ecology","topic80","topic115",1,NA,"ecology",1999,0.103350827614049,0.00353138139562551,0.105872578202763,1961,0.034805890227577,38,2.96934877798825
"experimental ecology","topic80","topic115",1,NA,"ecology",2000,0.100724075510732,0.0034222445803647,0.10524989894825,1961,0.034805890227577,39,2.89388016948141
"experimental ecology","topic80","topic115",1,NA,"ecology",2001,0.101858645145512,0.00334462738575639,0.104119075096244,1961,0.034805890227577,40,2.92647722783452
"experimental ecology","topic80","topic115",1,NA,"ecology",2002,0.108242424242424,0.00342054402613576,0.103343139633604,1961,0.034805890227577,41,3.1098881118881
"experimental ecology","topic80","topic115",1,NA,"ecology",2003,0.103588814672252,0.00324232055894142,0.103552957436994,1961,0.034805890227577,42,2.97618632923739
"experimental ecology","topic80","topic115",1,NA,"ecology",2004,0.0995177553704516,0.00313397281281439,0.102786342988274,1961,0.034805890227577,43,2.85922166391259
"experimental ecology","topic80","topic115",1,NA,"ecology",2005,0.101982402205025,0.00311587570694497,0.103038008327133,1961,0.034805890227577,44,2.93003286335206
"experimental ecology","topic80","topic115",1,NA,"ecology",2006,0.0961557763725785,0.00295351661035397,0.101897434572546,1961,0.034805890227577,45,2.762629421166
"experimental ecology","topic80","topic115",1,NA,"ecology",2007,0.095121473354232,0.00290378257428982,0.0992732443949078,1961,0.034805890227577,46,2.7329130998312
"experimental ecology","topic80","topic115",1,NA,"ecology",2008,0.0910315627405697,0.00282176493092571,0.0967617940085714,1961,0.034805890227577,47,2.6154068218156
"experimental ecology","topic80","topic115",1,NA,"ecology",2009,0.0856819681402583,0.00271741604036938,0.0939946365625327,1961,0.034805890227577,48,2.46170885387588
"experimental ecology","topic80","topic115",1,NA,"ecology",2010,0.0867655670505563,0.00278091470074222,0.090951269531639,1961,0.034805890227577,49,2.49284148410637
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1961,0.0535475234270415,0.00823680529056876,0.0297507953129739,1961,0.0535475234270415,0,1
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1962,0.0308310991957105,0.00632885033311746,0.031177678659225,1961,0.0535475234270415,1,0.575770777479894
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1963,0.0442477876106195,0.00731189918293614,0.0354610261356868,1961,0.0535475234270415,2,0.826327433628319
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1964,0.0268595041322314,0.00519635830543198,0.0366604652096992,1961,0.0535475234270415,3,0.501601239669421
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1965,0.0411877394636015,0.00615035973634674,0.0393347307658409,1961,0.0535475234270415,4,0.769181034482758
"experimental evolution","topic50","topic116",1,NA,"evolutionary biology",1966,0.0317324185248714,0.00513333973081533,0.0349717097854069,1961,0.0535475234270415,5,0.592602915951973
